Layer,Name,GEOID,CHACFZN_2023,CHACFZN_2023_moe
Census tract,Tract 101,17031010100,33,
Census tract,Tract 102.01,17031010201,28,
Census tract,Tract 102.02,17031010202,28,
Census tract,Tract 103,17031010300,40,
Census tract,Tract 104,17031010400,47,
Census tract,Tract 105.01,17031010501,44,
Census tract,Tract 105.02,17031010502,44,
Census tract,Tract 105.03,17031010503,32,
Census tract,Tract 106,17031010600,45,
Census tract,Tract 107.01,17031010701,47,
Census tract,Tract 107.02,17031010702,26,
Census tract,Tract 201,17031020100,34,
Census tract,Tract 202,17031020200,58,
Census tract,Tract 203.01,17031020301,59,
Census tract,Tract 203.02,17031020302,62,
Census tract,Tract 204,17031020400,42,
Census tract,Tract 205,17031020500,16,
Census tract,Tract 206.01,17031020601,34,
Census tract,Tract 206.02,17031020602,40,
Census tract,Tract 207.01,17031020701,69,
Census tract,Tract 207.02,17031020702,35,
Census tract,Tract 208.01,17031020801,39,
Census tract,Tract 208.02,17031020802,28,
Census tract,Tract 209.01,17031020901,24,
Census tract,Tract 209.02,17031020902,29,
Census tract,Tract 301.01,17031030101,31,
Census tract,Tract 301.02,17031030102,44,
Census tract,Tract 301.03,17031030103,42,
Census tract,Tract 301.04,17031030104,47,
Census tract,Tract 302,17031030200,62,
Census tract,Tract 303,17031030300,43,
Census tract,Tract 304,17031030400,52,
Census tract,Tract 305,17031030500,73,
Census tract,Tract 306.01,17031030601,40,
Census tract,Tract 306.03,17031030603,32,
Census tract,Tract 306.04,17031030604,48,
Census tract,Tract 307.01,17031030701,47,
Census tract,Tract 307.02,17031030702,49,
Census tract,Tract 307.03,17031030703,51,
Census tract,Tract 307.06,17031030706,66,
Census tract,Tract 308,17031030800,71,
Census tract,Tract 309,17031030900,81,
Census tract,Tract 310,17031031000,78,
Census tract,Tract 311,17031031100,60,
Census tract,Tract 312,17031031200,23,
Census tract,Tract 313,17031031300,44,
Census tract,Tract 314,17031031400,82,
Census tract,Tract 315.01,17031031501,26,
Census tract,Tract 315.02,17031031502,25,
Census tract,Tract 317,17031031700,60,
Census tract,Tract 318,17031031800,60,
Census tract,Tract 319,17031031900,73,
Census tract,Tract 321,17031032100,44,
Census tract,Tract 401,17031040100,70,
Census tract,Tract 402.01,17031040201,72,
Census tract,Tract 402.02,17031040202,35,
Census tract,Tract 403,17031040300,51,
Census tract,Tract 404.01,17031040401,72,
Census tract,Tract 404.02,17031040402,65,
Census tract,Tract 406,17031040600,74,
Census tract,Tract 407,17031040700,73,
Census tract,Tract 408,17031040800,76,
Census tract,Tract 409,17031040900,71,
Census tract,Tract 501,17031050100,85,
Census tract,Tract 502,17031050200,86,
Census tract,Tract 503,17031050300,84,
Census tract,Tract 505,17031050500,88,
Census tract,Tract 506,17031050600,94,
Census tract,Tract 507,17031050700,90,
