Layer,Name,GEOID,PMH_2023,PMH_2023_moe
Census tract,Tract 101,17031010100,17.30,1.59
Census tract,Tract 102.01,17031010201,18.90,1.64
Census tract,Tract 102.02,17031010202,15.50,1.47
Census tract,Tract 103,17031010300,15.00,1.51
Census tract,Tract 104,17031010400,18.40,1.85
Census tract,Tract 105.01,17031010501,15.30,1.47
Census tract,Tract 105.02,17031010502,16.50,1.89
Census tract,Tract 105.03,17031010503,18.80,2.27
Census tract,Tract 106,17031010600,15.80,1.72
Census tract,Tract 107.01,17031010701,14.80,1.38
Census tract,Tract 107.02,17031010702,17.80,1.72
Census tract,Tract 201,17031020100,16.00,1.51
Census tract,Tract 202,17031020200,13.30,1.34
Census tract,Tract 203.01,17031020301,13.00,1.43
Census tract,Tract 203.02,17031020302,14.40,1.38
Census tract,Tract 204,17031020400,14.30,1.34
Census tract,Tract 205,17031020500,17.50,1.47
Census tract,Tract 206.01,17031020601,16.30,1.59
Census tract,Tract 206.02,17031020602,13.40,1.30
Census tract,Tract 207.01,17031020701,11.90,1.26
Census tract,Tract 207.02,17031020702,15.00,1.43
Census tract,Tract 208.01,17031020801,14.00,1.30
Census tract,Tract 208.02,17031020802,15.90,1.59
Census tract,Tract 209.01,17031020901,17.00,1.59
Census tract,Tract 209.02,17031020902,16.10,1.43
Census tract,Tract 301.01,17031030101,14.70,1.43
Census tract,Tract 301.02,17031030102,15.70,1.59
Census tract,Tract 301.03,17031030103,18.70,2.06
Census tract,Tract 301.04,17031030104,19.60,2.43
Census tract,Tract 302,17031030200,14.10,1.51
Census tract,Tract 303,17031030300,14.50,1.38
Census tract,Tract 304,17031030400,13.60,1.47
Census tract,Tract 305,17031030500,13.50,1.47
Census tract,Tract 306.01,17031030601,14.60,1.43
Census tract,Tract 306.03,17031030603,15.90,1.68
Census tract,Tract 306.04,17031030604,13.30,1.43
Census tract,Tract 307.01,17031030701,15.90,1.55
Census tract,Tract 307.02,17031030702,11.20,1.13
Census tract,Tract 307.03,17031030703,14.40,1.47
Census tract,Tract 307.06,17031030706,11.90,1.22
Census tract,Tract 308,17031030800,12.90,1.47
Census tract,Tract 309,17031030900,13.10,1.51
Census tract,Tract 310,17031031000,13.40,1.59
Census tract,Tract 311,17031031100,15.20,1.68
Census tract,Tract 312,17031031200,18.10,1.72
Census tract,Tract 313,17031031300,13.80,1.38
Census tract,Tract 314,17031031400,12.30,1.34
Census tract,Tract 315.01,17031031501,18.50,1.76
Census tract,Tract 315.02,17031031502,18.10,1.72
Census tract,Tract 317,17031031700,14.70,1.55
Census tract,Tract 318,17031031800,14.40,1.59
