Layer,Name,GEOID,Population,POP_2020-2024_moe
Census tract,Tract 101,17031010100,"4,198",825
Census tract,Tract 102.01,17031010201,"7,361",937
Census tract,Tract 102.02,17031010202,"2,482",380
Census tract,Tract 103,17031010300,"6,477",858
Census tract,Tract 104,17031010400,"4,545",593
Census tract,Tract 105.01,17031010501,"3,718",652
Census tract,Tract 105.02,17031010502,"3,286",466
Census tract,Tract 105.03,17031010503,"2,757",416
Census tract,Tract 106,17031010600,"6,467","1,094"
Census tract,Tract 107.01,17031010701,"3,478",500
Census tract,Tract 107.02,17031010702,"4,739",906
Census tract,Tract 201,17031020100,"4,159",525
Census tract,Tract 202,17031020200,"7,632","1,123"
Census tract,Tract 203.01,17031020301,"4,978",787
Census tract,Tract 203.02,17031020302,"5,064","1,026"
Census tract,Tract 204,17031020400,"4,363",496
Census tract,Tract 205,17031020500,"6,625","1,339"
Census tract,Tract 206.01,17031020601,"6,275",807
Census tract,Tract 206.02,17031020602,"4,790","1,252"
Census tract,Tract 207.01,17031020701,"1,771",228
Census tract,Tract 207.02,17031020702,"8,057","1,686"
Census tract,Tract 208.01,17031020801,"5,332","1,002"
Census tract,Tract 208.02,17031020802,"8,964","1,741"
Census tract,Tract 209.01,17031020901,"6,256",927
Census tract,Tract 209.02,17031020902,"4,107",531
Census tract,Tract 301.01,17031030101,"3,515",400
Census tract,Tract 301.02,17031030102,"3,374",669
Census tract,Tract 301.03,17031030103,"2,132",182
Census tract,Tract 301.04,17031030104,"3,612",335
Census tract,Tract 302,17031030200,"5,791","1,139"
Census tract,Tract 303,17031030300,"2,956",527
Census tract,Tract 304,17031030400,"2,716",361
Census tract,Tract 305,17031030500,"6,518",670
Census tract,Tract 306.01,17031030601,"3,907",887
Census tract,Tract 306.03,17031030603,"1,996",259
Census tract,Tract 306.04,17031030604,"3,109",351
Census tract,Tract 307.01,17031030701,"1,516",155
Census tract,Tract 307.02,17031030702,"2,039",348
Census tract,Tract 307.03,17031030703,"3,237",418
Census tract,Tract 307.06,17031030706,"2,717",359
Census tract,Tract 308,17031030800,"4,610",497
Census tract,Tract 309,17031030900,"2,818",335
Census tract,Tract 310,17031031000,"4,108",516
Census tract,Tract 311,17031031100,"5,018",572
Census tract,Tract 312,17031031200,"5,298",609
Census tract,Tract 313,17031031300,"6,136",692
Census tract,Tract 314,17031031400,"4,697",498
Census tract,Tract 315.01,17031031501,"4,792",832
Census tract,Tract 315.02,17031031502,"4,463",551
Census tract,Tract 317,17031031700,"5,851",833
Census tract,Tract 318,17031031800,"1,765",276
Census tract,Tract 319,17031031900,"2,489",308
Census tract,Tract 321,17031032100,"7,442","1,030"
Census tract,Tract 401,17031040100,"3,987",448
Census tract,Tract 402.01,17031040201,"7,083",968
Census tract,Tract 402.02,17031040202,"7,198",948
Census tract,Tract 403,17031040300,"2,991",395
Census tract,Tract 404.01,17031040401,"3,441",491
Census tract,Tract 404.02,17031040402,"4,209",526
Census tract,Tract 406,17031040600,"2,521",420
Census tract,Tract 407,17031040700,"3,681",439
Census tract,Tract 408,17031040800,"1,670",188
Census tract,Tract 409,17031040900,"2,267",312
Census tract,Tract 501,17031050100,"2,163",445
Census tract,Tract 502,17031050200,"5,862","1,014"
Census tract,Tract 503,17031050300,"2,973",377
Census tract,Tract 505,17031050500,"5,221",741
Census tract,Tract 506,17031050600,"2,375",291
Census tract,Tract 507,17031050700,"1,470",239
Census tract,Tract 508,17031050800,"1,448",352
Census tract,Tract 509,17031050900,"1,456",206
Census tract,Tract 510,17031051000,"1,641",179
Census tract,Tract 511,17031051100,"1,851",310
Census tract,Tract 512,17031051200,"1,536",255
Census tract,Tract 513,17031051300,"2,810",491
Census tract,Tract 514,17031051400,"2,606",409
Census tract,Tract 601,17031060100,"2,895",438
Census tract,Tract 602,17031060200,"2,176",317
Census tract,Tract 603,17031060300,"3,057",362
Census tract,Tract 604,17031060400,"3,533",496
Census tract,Tract 605,17031060500,"1,329",171
Census tract,Tract 608,17031060800,"5,413",633
