Layer,Name,GEOID,SES_2023,SES_2023_moe
Census tract,Tract 101,17031010100,28.60,2.77
Census tract,Tract 102.01,17031010201,31.10,2.60
Census tract,Tract 102.02,17031010202,26.80,2.73
Census tract,Tract 103,17031010300,26.10,2.43
Census tract,Tract 104,17031010400,25.50,2.56
Census tract,Tract 105.01,17031010501,23.90,2.39
Census tract,Tract 105.02,17031010502,24.60,2.64
Census tract,Tract 105.03,17031010503,26.00,2.90
Census tract,Tract 106,17031010600,25.00,2.69
Census tract,Tract 107.01,17031010701,26.10,2.52
Census tract,Tract 107.02,17031010702,29.00,2.98
Census tract,Tract 201,17031020100,30.00,2.77
Census tract,Tract 202,17031020200,26.00,2.64
Census tract,Tract 203.01,17031020301,21.80,2.35
Census tract,Tract 203.02,17031020302,24.60,2.43
Census tract,Tract 204,17031020400,26.50,2.48
Census tract,Tract 205,17031020500,32.80,2.69
Census tract,Tract 206.01,17031020601,28.10,2.69
Census tract,Tract 206.02,17031020602,28.00,2.64
Census tract,Tract 207.01,17031020701,24.00,2.56
Census tract,Tract 207.02,17031020702,31.20,2.73
Census tract,Tract 208.01,17031020801,27.70,2.52
Census tract,Tract 208.02,17031020802,33.30,3.11
Census tract,Tract 209.01,17031020901,32.60,2.94
Census tract,Tract 209.02,17031020902,30.30,2.60
Census tract,Tract 301.01,17031030101,25.30,2.39
Census tract,Tract 301.02,17031030102,26.80,2.69
Census tract,Tract 301.03,17031030103,27.20,2.77
Census tract,Tract 301.04,17031030104,27.20,2.98
Census tract,Tract 302,17031030200,22.30,2.52
Census tract,Tract 303,17031030300,27.40,2.60
Census tract,Tract 304,17031030400,22.80,2.35
Census tract,Tract 305,17031030500,21.90,2.35
Census tract,Tract 306.01,17031030601,26.00,2.43
Census tract,Tract 306.03,17031030603,26.80,2.85
Census tract,Tract 306.04,17031030604,24.60,2.52
Census tract,Tract 307.01,17031030701,26.30,2.52
Census tract,Tract 307.02,17031030702,22.60,2.18
Census tract,Tract 307.03,17031030703,24.40,2.52
Census tract,Tract 307.06,17031030706,23.20,2.48
Census tract,Tract 308,17031030800,21.30,2.35
Census tract,Tract 309,17031030900,21.40,2.35
Census tract,Tract 310,17031031000,21.30,2.43
Census tract,Tract 311,17031031100,23.00,2.48
Census tract,Tract 312,17031031200,29.80,2.77
Census tract,Tract 313,17031031300,24.60,2.43
Census tract,Tract 314,17031031400,20.60,2.18
Census tract,Tract 315.01,17031031501,29.60,2.85
Census tract,Tract 315.02,17031031502,28.40,2.77
Census tract,Tract 317,17031031700,23.20,2.35
Census tract,Tract 318,17031031800,21.40,2.43
Census tract,Tract 319,17031031900,20.90,2.43
Census tract,Tract 321,17031032100,25.00,2.69
Census tract,Tract 401,17031040100,22.00,2.22
Census tract,Tract 402.01,17031040201,22.20,2.43
Census tract,Tract 402.02,17031040202,27.20,2.64
Census tract,Tract 403,17031040300,24.70,2.52
Census tract,Tract 404.01,17031040401,22.40,2.31
Census tract,Tract 404.02,17031040402,20.90,2.14
Census tract,Tract 406,17031040600,21.20,2.69
Census tract,Tract 407,17031040700,20.80,2.43
