Layer,Name,GEOID,HDBHR_2023,HDBHR_2023_moe
Zip code,60601,60601,100.6,18.5
Zip code,60602,60602,154.1,97.3
Zip code,60604,60604,242.7,103.7
Zip code,60605,60605,70.7,8.6
Zip code,60606,60606,90.7,26.2
Zip code,60607,60607,140.3,13.1
Zip code,60608,60608,93.8,5.8
Zip code,60609,60609,95.5,6.3
Zip code,60610,60610,110.8,9.6
Zip code,60611,60611,63.1,7.8
Zip code,60612,60612,280.7,15.1
Zip code,60613,60613,82.8,7.0
Zip code,60614,60614,64.9,5.5
Zip code,60615,60615,86.0,7.7
Zip code,60616,60616,88.4,6.7
Zip code,60617,60617,96.3,6.1
Zip code,60618,60618,64.7,4.3
Zip code,60619,60619,114.4,7.3
Zip code,60620,60620,141.8,7.9
Zip code,60621,60621,216.0,14.4
Zip code,60622,60622,103.4,8.2
Zip code,60623,60623,122.2,6.2
Zip code,60624,60624,225.2,12.9
Zip code,60625,60625,82.3,5.4
Zip code,60626,60626,206.3,10.2
Zip code,60628,60628,186.4,9.6
Zip code,60629,60629,74.6,4.3
Zip code,60630,60630,65.8,5.7
Zip code,60631,60631,54.7,7.4
Zip code,60632,60632,59.5,4.2
Zip code,60633,60633,119.9,15.6
Zip code,60634,60634,65.7,4.9
Zip code,60636,60636,187.8,12.4
Zip code,60637,60637,148.9,9.1
Zip code,60638,60638,69.4,5.7
Zip code,60639,60639,83.6,5.0
Zip code,60640,60640,200.4,8.7
Zip code,60641,60641,74.3,5.2
Zip code,60642,60642,59.6,11.3
Zip code,60643,60643,99.4,7.9
Zip code,60644,60644,283.3,12.8
Zip code,60645,60645,83.3,6.8
Zip code,60646,60646,67.1,8.7
Zip code,60647,60647,86.3,5.8
Zip code,60649,60649,151.5,9.3
Zip code,60651,60651,165.3,8.5
Zip code,60652,60652,76.2,7.3
Zip code,60653,60653,169.5,11.7
Zip code,60654,60654,42.8,7.7
Zip code,60655,60655,55.2,7.5
Zip code,60656,60656,53.0,7.0
Zip code,60657,60657,65.8,5.8
Zip code,60659,60659,59.3,6.4
Zip code,60660,60660,92.9,7.7
Zip code,60661,60661,32.1,9.3
Zip code,60707,60707,79.6,7.2
Zip code,60827,60827,134.2,12.6
