Layer,Name,GEOID,HDX_2019-2023,HDX_2019-2023_moe
Zip code,60601,60601,0.9,
Zip code,60602,60602,3.2,
Zip code,60603,60603,16.5,
Zip code,60604,60604,15.5,
Zip code,60605,60605,15.5,
Zip code,60606,60606,0.6,
Zip code,60607,60607,22.2,
Zip code,60608,60608,69.9,
Zip code,60609,60609,79.5,
Zip code,60610,60610,8.3,
Zip code,60611,60611,1.3,
Zip code,60612,60612,62.2,
Zip code,60613,60613,13.1,
Zip code,60614,60614,2.0,
Zip code,60615,60615,52.4,
Zip code,60616,60616,55.6,
Zip code,60617,60617,81.1,
Zip code,60618,60618,31.5,
Zip code,60619,60619,83.5,
Zip code,60620,60620,81.4,
Zip code,60621,60621,89.7,
Zip code,60622,60622,10.8,
Zip code,60623,60623,89.3,
Zip code,60624,60624,92.5,
Zip code,60625,60625,48.2,
Zip code,60626,60626,51.0,
Zip code,60628,60628,81.9,
Zip code,60629,60629,86.2,
Zip code,60630,60630,35.9,
Zip code,60631,60631,23.5,
Zip code,60632,60632,86.6,
Zip code,60633,60633,73.9,
Zip code,60634,60634,47.3,
Zip code,60636,60636,91.6,
Zip code,60637,60637,76.1,
Zip code,60638,60638,53.6,
Zip code,60639,60639,84.8,
Zip code,60640,60640,35.2,
Zip code,60641,60641,56.4,
Zip code,60642,60642,4.0,
Zip code,60643,60643,54.1,
Zip code,60644,60644,92.1,
Zip code,60645,60645,72.6,
Zip code,60646,60646,19.8,
Zip code,60647,60647,22.9,
Zip code,60649,60649,82.2,
Zip code,60651,60651,84.9,
Zip code,60652,60652,75.7,
Zip code,60653,60653,78.7,
Zip code,60654,60654,0.5,
Zip code,60655,60655,20.7,
Zip code,60656,60656,33.2,
Zip code,60657,60657,3.5,
Zip code,60659,60659,78.0,
Zip code,60660,60660,43.0,
Zip code,60661,60661,1.5,
Zip code,60707,60707,54.7,
Zip code,60827,60827,90.4,
