Layer,Name,GEOID,SVI_2022,SVI_2022_moe
Zip code,60601,60601,40.25,
Zip code,60602,60602,22.53,
Zip code,60603,60603,34.00,
Zip code,60604,60604,34.30,
Zip code,60605,60605,30.73,
Zip code,60606,60606,23.44,
Zip code,60607,60607,35.84,
Zip code,60608,60608,74.41,
Zip code,60609,60609,80.35,
Zip code,60610,60610,30.19,
Zip code,60611,60611,16.98,
Zip code,60612,60612,65.73,
Zip code,60613,60613,32.33,
Zip code,60614,60614,15.41,
Zip code,60615,60615,63.32,
Zip code,60616,60616,62.33,
Zip code,60617,60617,74.29,
Zip code,60618,60618,44.05,
Zip code,60619,60619,79.75,
Zip code,60620,60620,82.01,
Zip code,60621,60621,87.07,
Zip code,60622,60622,27.84,
Zip code,60623,60623,87.05,
Zip code,60624,60624,90.49,
Zip code,60625,60625,62.03,
Zip code,60626,60626,73.45,
Zip code,60628,60628,74.99,
Zip code,60629,60629,85.23,
Zip code,60630,60630,48.63,
Zip code,60631,60631,35.50,
Zip code,60632,60632,79.63,
Zip code,60633,60633,79.72,
Zip code,60634,60634,52.85,
Zip code,60636,60636,87.87,
Zip code,60637,60637,77.79,
Zip code,60638,60638,49.49,
Zip code,60639,60639,83.44,
Zip code,60640,60640,55.84,
Zip code,60641,60641,67.09,
Zip code,60642,60642,23.28,
Zip code,60643,60643,49.40,
Zip code,60644,60644,95.42,
Zip code,60645,60645,79.70,
Zip code,60646,60646,24.18,
Zip code,60647,60647,42.89,
Zip code,60649,60649,85.40,
Zip code,60651,60651,90.34,
Zip code,60652,60652,73.61,
Zip code,60653,60653,77.04,
Zip code,60654,60654,8.23,
Zip code,60655,60655,22.62,
Zip code,60656,60656,42.98,
Zip code,60657,60657,15.01,
Zip code,60659,60659,82.66,
Zip code,60660,60660,62.73,
Zip code,60661,60661,12.05,
Zip code,60707,60707,61.09,
Zip code,60827,60827,83.85,
